"Timestamp","학년","불안한 부분","앱 알게된 방법","대부분 과목의 목표 성과","앱 효과","디자인 평가","레이아웃 평가","불편한 점"
"2023/12/01 3:26:19 PM GMT+9","중2","기말고사가 불안하다","부모님","A","명확한 목표를 세울 수 있다","앱 로고가 마음에 들지 않는다","레이아웃이 못생겼다",""
"2023/12/01 3:26:48 PM GMT+9","중2","중간고사 점수가 낮다","친구","C","명확한 목표를 세울 수 있다","앱 로고가 마음에 들지 않는다","레이아웃이 복잡하다","ㅅㅈㅅㅈㅅㄷㅅㄷㅅ"
"2023/12/01 7:24:50 PM GMT+9","중3","수행평가 점수가 낮다","검색","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/01 7:25:48 PM GMT+9","중2","수행평가 점수가 낮다","카페 추천","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","수행비율 세분화"
"2023/12/01 7:26:10 PM GMT+9","중3","수행평가 점수가 낮다","검색","B;C","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","특별히 불편한점 없응"
"2023/12/01 7:31:39 PM GMT+9","중1","수행평가 점수가 낮다","친구;선생님","A;B;C;D","계산력 저하","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/01 7:32:19 PM GMT+9","중1","수행평가 점수가 낮다","친구;선생님","A;B;C;D","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다","수학"
"2023/12/01 7:33:01 PM GMT+9","중2","수행평가 점수가 낮다","친구;검색;선생님","A;B;C;D","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃이 복잡하다","수학"
"2023/12/02 1:12:36 AM GMT+9","중1","중간고사 점수가 낮다;기말고사가 불안하다","검색","C;D","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/02 1:25:51 AM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/02 2:53:46 AM GMT+9","중3","기말고사가 불안하다","검색","B","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/02 12:09:14 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","검색;SNS","B;C;D","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/02 2:45:06 PM GMT+9","중2","중간고사 점수가 낮다","SNS","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/02 5:07:25 PM GMT+9","중1","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","SNS","B","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/02 6:42:51 PM GMT+9","중3","중간고사 점수가 낮다","친구","B","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/02 7:29:06 PM GMT+9","중2","기말고사가 불안하다","SNS","A","기말고사가 덜 불안하다","색깔이 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/12/02 9:59:31 PM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/02 10:30:07 PM GMT+9","중2","기말고사가 불안하다","친구","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/02 11:32:38 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","검색","A;B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","내신 계산기도 만들어 주세요."
"2023/12/02 11:56:27 PM GMT+9","고1","중간고사 점수가 낮다;기말고사가 불안하다","SNS","B;C","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없음"
"2023/12/03 1:31:24 AM GMT+9","중3","기말고사가 불안하다","검색;","A","명확한 목표를 세울 수 있다","디자인 괜찮다;","레이아웃 괜찮다",""
"2023/12/03 12:45:44 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","검색","D","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다","고등학교"
"2023/12/03 3:02:03 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","SNS","A;B;C","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/03 3:05:30 PM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/03 9:07:39 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","SNS","B;C","기말고사가 덜 불안하다","색깔이 마음에 들지 않는다;버튼, 박스 등이 마음에 들지 않는다","레이아웃이 못생겼다",""
"2023/12/04 12:44:47 AM GMT+9","중2","중간고사 점수가 낮다","검색;","A","명확한 목표를 세울 수 있다","앱 로고가 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/12/04 3:14:18 AM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","색깔이 마음에 들지 않는다;앱 로고가 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/12/04 8:46:45 AM GMT+9","중2","중간고사 점수가 낮다","친구","A","몰라","상관 없음","몰라","없어"
"2023/12/04 3:45:53 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","내가 찾아봤다","D","별로 효과 없다","앱 로고가 마음에 들지 않는다","레이아웃이 불편하다",""
"2023/12/04 5:29:52 PM GMT+9","중2","수행평가 점수가 낮다;기말고사가 불안하다","검색","C","명확한 목표를 세울 수 있다","앱 로고가 마음에 들지 않는다","?",""
"2023/12/04 6:08:08 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","SNS","D","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/04 9:05:31 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","SNS","A","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/04 10:29:44 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/04 11:26:03 PM GMT+9","중2","기말고사가 불안하다","친구","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/05 8:31:34 AM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없다"
"2023/12/05 1:15:54 PM GMT+9","고1","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","앙"
"2023/12/05 4:14:23 PM GMT+9","중2","기말고사가 불안하다","검색","C","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/05 8:49:50 PM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/06 9:49:48 AM GMT+9","중2","기말고사가 불안하다","친구","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/06 1:41:30 PM GMT+9","중3","기말고사가 불안하다","SNS","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없습니다"
"2023/12/06 3:41:07 PM GMT+9","중2","수행평가 점수가 낮다","검색","A;B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/06 4:19:18 PM GMT+9","중2","기말고사가 불안하다","부모님","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","깔끔해서 좋아요"
"2023/12/06 7:41:07 PM GMT+9","중2","기말고사가 불안하다","검색","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다","오늘 처음 깔았는딩ㅅ"
"2023/12/06 8:56:14 PM GMT+9","중2","기말고사가 불안하다","검색","A;B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/06 9:13:06 PM GMT+9","중3","기말고사가 불안하다","검색","A","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/06 11:47:26 PM GMT+9","중2","기말고사가 불안하다","친구","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없다"
"2023/12/07 8:01:36 AM GMT+9","중2","기말고사가 불안하다","SNS","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/07 12:29:17 PM GMT+9","중2","기말고사가 불안하다","검색","B","계산력 저하","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/07 8:52:32 PM GMT+9","중2","수행평가 점수가 낮다;기말고사가 불안하다","검색","A;B;C","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/07 11:55:42 PM GMT+9","중2","수행평가 점수가 낮다","부모님","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없음"
"2023/12/08 1:24:46 PM GMT+9","중1","중간고사 점수가 낮다;기말고사가 불안하다","검색","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다","ㄱ"
"2023/12/08 11:30:46 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","검색","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/09 5:44:01 AM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","확실한 사용법이 중간.기말, 수행 비율 모르겠다"
"2023/12/10 2:56:42 PM GMT+9","중1","중간고사 점수가 낮다;기말고사가 불안하다","선생님","D","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/10 3:30:24 PM GMT+9","중2","기말고사가 불안하다","검색","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/10 3:39:55 PM GMT+9","중2","기말고사가 불안하다","검색","C","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/10 10:24:29 PM GMT+9","중2","기말고사가 불안하다","SNS","B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/10 11:26:47 PM GMT+9","중2","기말고사가 불안하다","검색","A;B;C","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","ㆍ"
"2023/12/10 11:42:24 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","검색","B;C;D","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/11 10:21:45 PM GMT+9","중2","기말고사가 불안하다","공부하려고 스토어 보다가","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/11 11:13:49 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","검색","C;D","별로 효과 없다","디자인 괜찮다","레이아웃이 못생겼다",""
"2023/12/11 11:14:46 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","검색","C;D","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/11 11:25:08 PM GMT+9","중2","기말고사가 불안하다","친구","A","명확한 목표를 세울 수 있다","앱 로고가 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/12/12 10:31:13 AM GMT+9","중2","중간고사 점수가 낮다","SNS","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/12 10:52:22 PM GMT+9","중2","중간고사 점수가 낮다","친구","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/13 11:30:37 AM GMT+9","중2","기말고사가 불안하다","친구","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다","없"
"2023/12/13 11:57:26 AM GMT+9","중1","기말고사가 불안하다","검색","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/13 12:01:38 PM GMT+9","고1","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","SNS","D",".","디자인 괜찮다","레이아웃 괜찮다","."
"2023/12/13 4:08:08 PM GMT+9","중2","수행평가 점수가 낮다;기말고사가 불안하다","스토어","B","별로 효과 없다","디자인 괜찮다","레이아웃이 복잡하다",""
"2023/12/13 5:30:24 PM GMT+9","중2","기말고사가 불안하다","친구","A","명확한 목표를 세울 수 있다","색깔이 마음에 들지 않는다","레이아웃이 못생겼다",""
"2023/12/13 9:02:33 PM GMT+9","중2","수행평가 점수가 낮다","SNS","A","기말고사가 덜 불안하다","Dd","In",""
"2023/12/13 9:33:25 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","검색","D","아직안써봤어요!!!!!!!! 이제부터 쓸거에요","디자인 괜찮다","레이아웃이 복잡하다","그런건 없고 제발......내신만ㅠㅠㅠ좋게ㅠㅠㅠㅠ"
"2023/12/14 8:25:54 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없다"
"2023/12/14 11:03:14 PM GMT+9","중2","중간고사 점수가 낮다","검색","A;B","사용 방법을 잘 몰라서 잘 모르겠다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/14 11:19:57 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","부모님","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃이 복잡하다",""
"2023/12/15 3:37:05 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","부모님","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/15 4:56:53 PM GMT+9","중2","수행평가 점수가 낮다","친구;검색","A;B","기말고사가 덜 불안하다","중간","모름","수행"
"2023/12/15 4:57:38 PM GMT+9","중2","수행평가 점수가 낮다","검색","A;B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","수행평가 "
"2023/12/15 6:18:52 PM GMT+9","중2","기말고사가 불안하다","SNS","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""